Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1073,DataAnalyticsCourse,164.0,3734.0,$225.39,27.0,8.0,0.04,$1728,12-11-2024,HYDERABAD,tablet,learn data analytics
A1074,Data Analytics Corse,150.0,4621.0,$246.3,15.0,6.0,0.049,$1554,2024-11-09,hyderabad,Desktop,data analitics online
A1075,Data Analytcis Course,97.0,3212.0,$212.55,27.0,10.0,0.103,$1994,23-11-2024,HYDERABAD,DESKTOP,analytics for data
A1076,Data Anlytics Corse,128.0,4225.0,$228.24,30.0,4.0,0.031,$1618,2024/11/08,Hyderbad,mobile,learn data analytics
A1077,Data Analytics Corse,99.0,4779.0,$233.78,26.0,10.0,0.101,$1086,2024-11-05,hyderabad,DESKTOP,online data analytic
A1078,Data Anlytics Corse,86.0,5352.0,$234.05,11.0,5.0,0.058,$1364,2024-11-09,hydrebad,TABLET,online data analytic
A1079,Data Analytcis Course,118.0,5405.0,$187.28,25.0,7.0,0.058,$1836,2024-11-05,hydrebad,TABLET,analytics for data
A1080,Data Analytcis Course,127.0,5430.0,$199.13,14.0,6.0,0.047,$1932,2024/11/25,hydrebad,Mobile,analytics for data
A1081,Data Analytics Corse,83.0,4808.0,$241.35,20.0,7.0,0.084,$1038,30-11-2024,Hyderbad,mobile,learn data analytics
A1082,Data Analytcis Course,149.0,3587.0,$217.53,23.0,8.0,,,17-11-2024,hydrebad,Mobile,data analitics online
A1083,DataAnalyticsCourse,168.0,4683.0,$215.28,30.0,8.0,0.048,$1327,2024/11/28,HYDERABAD,Mobile,data analitics online
A1084,DataAnalyticsCourse,112.0,5814.0,$227.38,11.0,8.0,0.071,$1467,2024-11-03,Hyderbad,Tablet,analytics for data
A1085,DataAnalyticsCourse,123.0,3292.0,$233.2,28.0,6.0,0.049,$1174,2024-11-19,HYDERABAD,Desktop,data anaytics training
A1086,Data Anlytics Corse,174.0,4305.0,$206.02,20.0,3.0,0.034,$1057,2024/11/23,HYDERABAD,desktop,learn data analytics
A1087,Data Analytics Corse,143.0,4368.0,,27.0,7.0,0.049,$1199,03-11-2024,hydrebad,tablet,analytics for data
A1088,Data Analytcis Course,195.0,5935.0,$209.68,23.0,9.0,0.046,$1966,2024-11-07,hydrebad,tablet,online data analytic
A1089,DataAnalyticsCourse,176.0,5847.0,$241.04,13.0,6.0,0.034,$1194,2024-11-02,hyderabad,DESKTOP,online data analytic
A1090,Data Anlytics Corse,141.0,4851.0,$227.39,28.0,5.0,,$1821,2024/11/15,HYDERABAD,desktop,analytics for data
A1091,Data Analytics Corse,108.0,4710.0,$204.16,19.0,10.0,0.093,$1731,2024/11/20,Hyderbad,tablet,data analitics online
A1092,Data Anlytics Corse,112.0,3345.0,,11.0,6.0,0.047,$1859,2024-11-23,Hyderbad,TABLET,analytics for data
A1093,DataAnalyticsCourse,,5903.0,$184.41,23.0,9.0,,$1188,20-11-2024,Hyderbad,tablet,online data analytic
A1094,Data Analytcis Course,145.0,5004.0,$216.45,22.0,5.0,0.034,$1496,2024-11-01,hydrebad,tablet,data analitics online
A1095,Data Anlytics Corse,183.0,3947.0,$197.3,15.0,8.0,0.044,$1645,2024-11-14,Hyderbad,Desktop,data anaytics training
A1096,DataAnalyticsCourse,113.0,3690.0,$229.42,20.0,5.0,0.044,$1915,2024-11-28,HYDERABAD,tablet,learn data analytics
A1097,Data Analytcis Course,101.0,5943.0,$187.32,27.0,6.0,0.059,$1614,2024-11-15,hydrebad,TABLET,data analitics online
A1098,DataAnalyticsCourse,189.0,5357.0,$222.5,24.0,3.0,0.05,$1839,2024-11-25,hydrebad,tablet,data analytics course
A1099,Data Anlytics Corse,154.0,3596.0,$236.14,30.0,9.0,0.058,$1036,2024/11/06,HYDERABAD,tablet,online data analytic
A1100,Data Anlytics Corse,179.0,5162.0,$246.76,16.0,5.0,0.05,$1052,2024-11-29,Hyderbad,DESKTOP,online data analytic
A1101,Data Analytics Corse,148.0,3747.0,$244.41,18.0,8.0,0.054,$1092,2024/11/17,HYDERABAD,Tablet,learn data analytics
A1102,Data Anlytics Corse,177.0,4822.0,$197.03,26.0,9.0,0.051,$1909,2024-11-04,Hyderbad,Mobile,online data analytic
A1103,Data Analytcis Course,119.0,5800.0,$221.36,11.0,8.0,,,29-11-2024,hydrebad,Desktop,analytics for data
A1104,Data Analytcis Course,89.0,3594.0,,14.0,6.0,0.067,$1026,2024/11/15,HYDERABAD,tablet,data analytics course
A1105,Data Analytcis Course,146.0,4765.0,$230.22,23.0,5.0,0.034,$1944,2024/11/28,hyderabad,Tablet,analytics for data
A1106,Data Analytics Corse,109.0,4128.0,$183.65,12.0,5.0,,,2024-11-30,HYDERABAD,Desktop,data analitics online
A1107,Data Anlytics Corse,159.0,5127.0,$197.16,21.0,4.0,0.025,$1867,2024-11-03,hyderabad,tablet,learn data analytics
A1108,Data Anlytics Corse,144.0,5674.0,$235.36,12.0,3.0,0.021,$1505,2024-11-22,hyderabad,desktop,analytics for data
A1109,Data Anlytics Corse,122.0,3793.0,$237.22,19.0,8.0,0.066,$1842,2024-11-20,hyderabad,tablet,online data analytic
A1110,Data Analytics Corse,112.0,4315.0,$235.33,28.0,9.0,0.08,$1116,2024/11/08,HYDERABAD,MOBILE,data analytics course
A1111,DataAnalyticsCourse,174.0,4704.0,$192.32,21.0,10.0,0.049,$1501,2024/11/24,HYDERABAD,MOBILE,learn data analytics
A1112,Data Analytics Corse,168.0,3349.0,$235.6,23.0,9.0,0.054,$1894,2024-11-09,hyderabad,Mobile,online data analytic
A1113,DataAnalyticsCourse,173.0,3501.0,$223.9,28.0,10.0,0.044,$1179,2024/11/25,Hyderbad,Mobile,data analytics course
A1114,Data Analytics Corse,91.0,,$203.52,,9.0,0.099,$1838,20-11-2024,hydrebad,DESKTOP,data analytics course
A1115,Data Analytcis Course,140.0,5405.0,$195.69,21.0,8.0,,$1094,21-11-2024,hyderabad,Desktop,data anaytics training
A1116,DataAnalyticsCourse,93.0,3425.0,$229.76,26.0,4.0,0.043,$1344,24-11-2024,Hyderbad,Mobile,online data analytic
A1117,Data Analytcis Course,114.0,5263.0,$189.13,23.0,5.0,0.044,$1434,05-11-2024,HYDERABAD,Mobile,data analytics course
A1118,Data Anlytics Corse,172.0,3889.0,,21.0,10.0,,$1766,2024-11-16,HYDERABAD,TABLET,online data analytic
A1119,Data Analytcis Course,188.0,3327.0,$193.76,24.0,6.0,0.047,$1220,03-11-2024,hydrebad,Tablet,online data analytic
A1120,Data Anlytics Corse,117.0,,$214.18,29.0,4.0,0.034,$1348,2024/11/23,hyderabad,MOBILE,learn data analytics
A1121,DataAnalyticsCourse,113.0,5471.0,$215.57,27.0,9.0,0.038,$1123,2024-11-23,hyderabad,Mobile,analytics for data
A1122,Data Analytics Corse,109.0,3550.0,$240.33,14.0,8.0,0.073,$1982,2024-11-24,hyderabad,Tablet,learn data analytics
A1123,Data Anlytics Corse,174.0,3178.0,$225.67,18.0,10.0,0.057,$1140,20-11-2024,HYDERABAD,Desktop,data analitics online
A1124,DataAnalyticsCourse,96.0,4673.0,$192.88,24.0,5.0,0.052,$1962,2024-11-10,HYDERABAD,MOBILE,learn data analytics
A1125,Data Analytcis Course,110.0,4254.0,$187.87,11.0,4.0,,$1172,2024-11-04,hyderabad,MOBILE,data anaytics training
A1126,Data Anlytics Corse,163.0,3658.0,$237.63,23.0,7.0,0.043,$1699,2024-11-23,Hyderbad,TABLET,online data analytic
A1127,DataAnalyticsCourse,161.0,5319.0,$235.98,13.0,4.0,0.025,$1423,2024-11-18,Hyderbad,Mobile,learn data analytics
A1128,DataAnalyticsCourse,195.0,5278.0,$193.49,30.0,7.0,0.047,$1456,2024/11/04,hyderabad,Mobile,data analytics course
A1129,Data Anlytics Corse,84.0,3755.0,$218.88,14.0,9.0,0.047,$1299,2024/11/05,Hyderbad,TABLET,analytics for data
A1130,Data Anlytics Corse,113.0,4580.0,$194.82,11.0,6.0,0.059,$1248,2024/11/28,Hyderbad,tablet,data analytics course
A1131,Data Analytics Corse,117.0,3809.0,$225.14,12.0,5.0,0.032,$1495,2024-11-09,hydrebad,DESKTOP,data anaytics training
A1132,DataAnalyticsCourse,135.0,5118.0,$219.99,27.0,6.0,0.044,$1089,2024-11-20,hyderabad,MOBILE,online data analytic
A1133,Data Anlytics Corse,92.0,5766.0,$186.14,28.0,7.0,0.076,$1013,27-11-2024,HYDERABAD,TABLET,data anaytics training
A1134,Data Analytcis Course,188.0,3934.0,$206.21,16.0,9.0,0.048,,04-11-2024,hydrebad,Desktop,data analytics course
A1135,Data Analytcis Course,101.0,4724.0,$228.38,13.0,7.0,0.034,$1243,2024-11-20,hyderabad,Desktop,learn data analytics
A1136,Data Anlytics Corse,111.0,5895.0,$205.25,29.0,4.0,0.036,$1693,2024-11-04,HYDERABAD,Mobile,data analytics course
A1137,Data Analytics Corse,122.0,4048.0,$202.23,28.0,10.0,0.082,,26-11-2024,hyderabad,mobile,online data analytic
A1138,Data Analytcis Course,99.0,3169.0,$237.68,21.0,6.0,,$1509,2024-11-22,hydrebad,Mobile,online data analytic
A1139,DataAnalyticsCourse,154.0,4535.0,$229.29,11.0,3.0,0.019,$1434,2024/11/01,HYDERABAD,TABLET,data anaytics training
A1140,Data Anlytics Corse,129.0,3849.0,$249.29,22.0,10.0,0.078,$1767,2024/11/11,HYDERABAD,desktop,analytics for data
A1141,Data Analytcis Course,,4259.0,$182.98,10.0,10.0,0.031,$1048,16-11-2024,hyderabad,MOBILE,analytics for data
A1142,DataAnalyticsCourse,143.0,3628.0,,18.0,9.0,0.063,$1566,17-11-2024,hydrebad,tablet,data analytics course
A1143,Data Analytics Corse,80.0,3269.0,,12.0,4.0,0.05,$1753,23-11-2024,Hyderbad,Desktop,data analitics online
A1144,Data Anlytics Corse,134.0,3724.0,$188.02,26.0,9.0,0.047,$1891,2024/11/07,hydrebad,DESKTOP,online data analytic
A1145,Data Anlytics Corse,174.0,4838.0,$242.35,21.0,3.0,0.017,$1599,2024-11-22,HYDERABAD,desktop,data analitics online
A1146,Data Analytics Corse,196.0,4524.0,$192.01,15.0,8.0,0.041,$1048,2024-11-13,hyderabad,desktop,data analytics course
A1147,Data Analytics Corse,194.0,4694.0,$228.15,17.0,7.0,0.036,$1874,2024-11-14,hyderabad,Tablet,learn data analytics
A1148,Data Analytics Corse,180.0,4326.0,$221.67,13.0,,,$1427,06-11-2024,Hyderbad,TABLET,online data analytic
A1149,Data Analytcis Course,100.0,4235.0,$222.61,10.0,8.0,0.051,$1814,01-11-2024,hyderabad,Desktop,data anaytics training
A1150,Data Anlytics Corse,153.0,4367.0,$184.51,29.0,9.0,0.059,$1507,2024-11-13,HYDERABAD,MOBILE,analytics for data
A1151,Data Anlytics Corse,110.0,3748.0,$198.68,24.0,9.0,0.082,$1041,05-11-2024,Hyderbad,TABLET,data anaytics training
A1152,Data Analytics Corse,116.0,3901.0,,21.0,4.0,0.034,$1483,2024-11-13,hyderabad,Tablet,online data analytic
A1153,Data Analytics Corse,156.0,3335.0,$236.98,29.0,7.0,0.045,$1143,2024-11-14,Hyderbad,desktop,data analytics course
A1154,Data Analytics Corse,177.0,5671.0,$210.74,19.0,6.0,0.058,$1172,25-11-2024,HYDERABAD,Tablet,data analytics course
A1155,DataAnalyticsCourse,89.0,3408.0,$214.78,25.0,9.0,0.101,$1898,2024/11/15,hydrebad,Mobile,data analytics course
A1156,DataAnalyticsCourse,155.0,4422.0,$183.96,14.0,8.0,0.037,$1143,2024/11/15,hydrebad,MOBILE,analytics for data
A1157,Data Analytcis Course,123.0,3097.0,$190.55,20.0,8.0,0.065,$1640,2024/11/22,Hyderbad,tablet,data analytics course
A1158,Data Analytics Corse,102.0,3621.0,$244.82,10.0,5.0,0.049,$1375,2024/11/12,hydrebad,MOBILE,learn data analytics
A1159,Data Analytics Corse,150.0,4806.0,$244.53,15.0,9.0,,$1602,07-11-2024,hydrebad,Mobile,data analitics online
A1160,Data Anlytics Corse,160.0,,$245.87,11.0,6.0,0.037,,2024-11-05,Hyderbad,DESKTOP,analytics for data
A1161,Data Anlytics Corse,143.0,3901.0,$191.38,29.0,4.0,0.053,$1786,2024-11-24,HYDERABAD,MOBILE,learn data analytics
A1162,Data Anlytics Corse,178.0,4673.0,$222.46,29.0,6.0,0.051,$1219,2024/11/04,hydrebad,tablet,online data analytic
A1163,DataAnalyticsCourse,152.0,3542.0,$208.96,13.0,9.0,,$1735,2024/11/13,Hyderbad,desktop,data analytics course
A1164,DataAnalyticsCourse,139.0,4347.0,$238.19,26.0,5.0,,$1384,13-11-2024,hydrebad,tablet,analytics for data
A1165,Data Analytcis Course,175.0,5014.0,$247.24,25.0,7.0,0.04,$1499,15-11-2024,hydrebad,MOBILE,learn data analytics
A1166,Data Analytics Corse,92.0,4185.0,$218.46,21.0,9.0,0.035,$1567,2024/11/03,Hyderbad,mobile,data analitics online
A1167,DataAnalyticsCourse,123.0,5964.0,,17.0,6.0,,$1363,2024/11/03,hydrebad,desktop,data anaytics training
A1168,Data Analytcis Course,86.0,5124.0,$183.71,13.0,10.0,0.116,$1137,20-11-2024,HYDERABAD,MOBILE,data anaytics training
A1169,Data Anlytics Corse,117.0,4162.0,$238.08,28.0,10.0,0.085,$1186,2024/11/22,hydrebad,MOBILE,online data analytic
A1170,Data Analytcis Course,146.0,4330.0,$191.9,20.0,3.0,0.021,$1748,2024/11/09,HYDERABAD,MOBILE,online data analytic
A1171,Data Analytcis Course,89.0,3268.0,,17.0,4.0,0.045,$1233,2024/11/13,hyderabad,DESKTOP,online data analytic
A1172,DataAnalyticsCourse,195.0,3483.0,$213.99,27.0,7.0,0.036,$1796,23-11-2024,hyderabad,Desktop,learn data analytics
A1173,Data Analytcis Course,170.0,4519.0,$240.63,22.0,7.0,0.041,$1012,27-11-2024,Hyderbad,MOBILE,analytics for data
A1174,Data Analytcis Course,97.0,3605.0,$240.29,21.0,7.0,0.045,$1682,2024-11-10,HYDERABAD,Desktop,data analitics online
A1175,Data Anlytics Corse,159.0,5076.0,$204.97,15.0,10.0,0.063,$1638,17-11-2024,Hyderbad,tablet,data analytics course
A1176,Data Anlytics Corse,131.0,5352.0,$225.86,24.0,10.0,,$1961,2024-11-20,HYDERABAD,mobile,online data analytic
A1177,Data Analytics Corse,108.0,5503.0,$185.26,11.0,7.0,0.065,$1921,06-11-2024,hydrebad,Mobile,data analitics online
A1178,DataAnalyticsCourse,93.0,4308.0,$209.83,19.0,9.0,0.097,$1694,2024-11-20,hyderabad,mobile,data analytics course
A1179,Data Analytcis Course,137.0,3555.0,$213.5,29.0,3.0,,,2024/11/06,hyderabad,DESKTOP,data analytics course
A1180,Data Analytics Corse,81.0,5615.0,$193.14,30.0,6.0,0.074,$1255,2024/11/28,hyderabad,MOBILE,analytics for data
A1181,Data Analytcis Course,160.0,4743.0,$206.22,23.0,10.0,0.062,$1825,2024/11/20,hydrebad,mobile,learn data analytics
A1182,Data Anlytics Corse,186.0,3337.0,$183.58,16.0,8.0,0.043,$1045,2024-11-30,HYDERABAD,Desktop,online data analytic
A1183,Data Analytcis Course,105.0,3234.0,$238.8,27.0,10.0,0.095,$1248,2024/11/06,Hyderbad,Desktop,online data analytic
A1184,Data Analytcis Course,131.0,3913.0,$203.69,14.0,10.0,,$1079,2024/11/25,Hyderbad,DESKTOP,data anaytics training
A1185,Data Analytcis Course,129.0,3208.0,$204.2,18.0,8.0,0.032,$1456,2024-11-29,hyderabad,Desktop,learn data analytics
A1186,Data Anlytics Corse,187.0,5972.0,$220.64,30.0,7.0,0.037,$1980,2024-11-14,Hyderbad,Desktop,data analytics course
A1187,Data Analytics Corse,167.0,3662.0,$235.43,10.0,7.0,0.042,$1684,2024-11-25,Hyderbad,MOBILE,data anaytics training
A1188,DataAnalyticsCourse,140.0,3359.0,$182.13,29.0,7.0,0.045,$1973,2024/11/28,hydrebad,desktop,data analitics online
A1189,Data Analytics Corse,198.0,3700.0,$220.67,14.0,5.0,,$1531,2024/11/10,hyderabad,MOBILE,analytics for data
A1190,Data Anlytics Corse,196.0,3835.0,$218.07,10.0,9.0,0.041,$1871,04-11-2024,hyderabad,TABLET,online data analytic
A1191,Data Analytics Corse,140.0,5638.0,$208.02,22.0,5.0,,$1652,2024-11-18,Hyderbad,desktop,data anaytics training
A1192,Data Analytics Corse,157.0,5825.0,$230.6,16.0,3.0,0.019,$1041,2024-11-16,hydrebad,desktop,data anaytics training
A1193,Data Analytics Corse,91.0,5428.0,$248.38,11.0,3.0,0.033,$1835,22-11-2024,HYDERABAD,tablet,learn data analytics
A1194,Data Analytcis Course,140.0,3571.0,$238.12,21.0,9.0,0.064,$1762,2024/11/16,HYDERABAD,DESKTOP,learn data analytics
A1195,DataAnalyticsCourse,154.0,3638.0,$182.17,11.0,8.0,0.056,$1413,2024-11-04,HYDERABAD,mobile,online data analytic
A1196,Data Anlytics Corse,133.0,4505.0,$200.52,23.0,3.0,0.039,$1562,26-11-2024,hyderabad,TABLET,analytics for data
A1197,Data Analytcis Course,,5016.0,$238.59,26.0,9.0,,$1620,2024-11-20,Hyderbad,Mobile,data analitics online
A1198,Data Anlytics Corse,141.0,3071.0,$208.2,10.0,6.0,0.043,$1647,18-11-2024,hydrebad,Tablet,data analitics online
A1199,Data Anlytics Corse,135.0,5682.0,,30.0,3.0,,$1445,2024/11/15,Hyderbad,tablet,data anaytics training
A1200,Data Analytics Corse,199.0,5067.0,$247.38,24.0,8.0,0.059,$1365,2024/11/19,Hyderbad,mobile,analytics for data
A1201,Data Analytcis Course,138.0,3971.0,$184.87,28.0,3.0,0.022,$1718,2024-11-07,Hyderbad,TABLET,learn data analytics
